,asin,helpful,overall,reviewerID,unixReviewTime
0,307141985,"[14, 15]",5,A3IEV6R2B7VW5Z,1128556800
1,307141985,"[2, 2]",4,A2H3ISQ4QB95XN,1322006400
2,307141985,"[38, 38]",5,A6GMEO3VRY51S,1058140800
3,307141985,"[15, 16]",5,A3E102F6LPUF1J,1068076800
4,307141985,"[11, 12]",5,A2JP0URFHXP6DO,1141171200
5,073890015X,"[0, 0]",5,A31GBCW6YPY9OW,1378857600
6,073890015X,"[1, 16]",5,A3QAV7LALVG1F7,1043280000
7,073890015X,"[10, 12]",2,A1BFRIT70VHDF8,952646400
8,073890015X,"[0, 0]",5,AEFGR6NFTNWH0,1239580800
9,073890015X,"[11, 13]",4,A24GD1AWG77IDJ,960940800
10,073890015X,"[2, 2]",1,A1THF19PO0LXRD,940464000
11,073890015X,"[4, 5]",3,A2KCJ6AACY6J0L,1140220800
12,073890015X,"[2, 6]",3,A1M2KLG6VJ73WI,949276800
13,073890015X,"[2, 2]",5,ANKDCFV5320R3,1188518400
14,073890015X,"[10, 10]",3,A24E0F4QEQ4VXM,974851200
15,738900370,"[0, 5]",3,AJ1S12KV4D5Z3,1080345600
16,738900370,"[5, 5]",4,A2AXP78ZZ42FVC,1085011200
17,738900370,"[2, 5]",5,A1CQS2B5PD3252,1128038400
18,738900370,"[16, 19]",5,A1C384NS531WXA,942019200
19,738900370,"[1, 2]",5,A3VREOCVARPZRM,1117670400
20,738900370,"[9, 10]",5,A4QXQO4O749CW,962668800
21,738900370,"[5, 5]",3,A3S5C7Y0WT2Q9N,1041033600
22,738900370,"[0, 2]",5,A26DFIJCTJHZ6Y,1092787200
23,738900370,"[1, 1]",5,A18D1RLW38LVLW,998784000
24,738900370,"[0, 0]",4,ATPOD87Y2WKZ4,1137542400
25,738900370,"[0, 0]",4,A26BWKWR01YJ7G,1054425600
26,738900370,"[13, 13]",5,A39S9XEW3ESL1,1065225600
27,738900370,"[1, 1]",5,A2VDFXPD184F2,1030665600
28,738900370,"[0, 2]",3,A2DBVQRC4DNXBQ,1121817600
29,738900370,"[29, 30]",5,A3SAU1A0IEYDNX,969494400
30,738900370,"[0, 0]",3,A2JEONEOLE4FD2,1215129600
31,738900370,"[0, 0]",5,A2DXI15H0CJSY0,1379548800
32,738900370,"[1, 1]",5,A2AAHVC9E2Y7JL,1143244800
33,738900672,"[6, 31]",1,A110L6QITPVJTP,1090886400
34,738900672,"[1, 2]",5,A21S5019ZLNOB0,961459200
35,738900672,"[9, 21]",3,A1OB5L3WMHJAD9,1036368000
36,738900672,"[4, 5]",4,A5WN8L3I2CDV5,1094774400
37,738900672,"[8, 8]",5,A16MK69Q49SVHP,969840000
38,738900672,"[5, 6]",5,A3FJUZMUOINJDM,1033257600
39,738900672,"[4, 5]",5,A3KI57KNRY0YMT,1184371200
40,738900672,"[2, 3]",5,A2XYC7YFRS7E97,962928000
41,738900672,"[6, 7]",4,A2ULSA0IRUE09E,1190851200
42,738900672,"[3, 3]",5,A1B5PBCCXBMRVD,957916800
43,738900672,"[56, 58]",5,A3GW8RC5RE1W6S,965865600
44,738900672,"[10, 11]",5,A3F4V1W3IINU19,977443200
45,738900672,"[5, 5]",5,A20BVCIPXL08OZ,972604800
46,738900672,"[10, 11]",5,A3P1ZK1NTPUNDW,958348800
47,738900672,"[8, 10]",5,A97B72F4UI8FA,1013817600
48,738900672,"[0, 1]",3,A3DM8V8EV0U8T8,1228348800
49,738900672,"[1, 1]",5,A37S3ACL57LN62,1105401600
50,738900672,"[0, 1]",4,A12V69L5PJ1OQI,1005523200
51,738900672,"[23, 25]",5,A2XYJWJQ1EMUXF,1064793600
52,738919039,"[11, 11]",4,A1HOWR14J49JRN,1148947200
53,738919039,"[4, 6]",5,A3PHTB9X7B11XL,1123286400
54,738919039,"[0, 0]",5,AG4D06TQLDFMH,1381017600
55,738919039,"[75, 77]",5,A23DFB8IUTIZM0,970790400
56,738919039,"[101, 102]",5,A13OFOB1394G31,1041897600
57,738919039,"[10, 10]",4,AKK6VQJSQ8041,999561600
58,738919039,"[13, 14]",4,A21UKG4WZ7KZ1L,1091836800
59,738919039,"[12, 15]",5,A2CN3U4JCMSMA,1004486400
60,738919039,"[9, 10]",5,A2VH4AQKBG6O0H,1147046400
61,738919039,"[13, 14]",4,A2NHAEBGH1TWSJ,1039392000
62,738919039,"[18, 33]",2,A1OPGW0LOVTEI1,1053907200
63,738919039,"[8, 10]",5,A27D5EVE277NP,1057968000
64,738919039,"[6, 8]",3,A1FTKZQL7FAENV,1125446400
65,738919039,"[2, 2]",5,A2XR3JNKBZITS1,1304294400
66,738919039,"[35, 35]",5,AUX9KZUUB3YCE,1023667200
67,738919039,"[26, 27]",3,AMVLSBP59YGNG,1128038400
68,738919039,"[4, 32]",2,A2I1I013BYF5S1,1103068800
69,738919039,"[2, 2]",5,A3HI73Y1JOG6DD,1286150400
