,asin,helpful,overall,reviewerID,unixReviewTime
1,P01,"[6, 7]",4,Antonio,1354320000
2,P01,"[4, 4]",3,Barbara,1354665600
3,P01,"[1, 2]",2,Carlo,1375747200
4,P01,"[0, 1]",3,Davide,1358380800
5,P01,"[0, 1]",5,Erica,1364947200
6,P01,"[3, 3]",2,Fabrizio,1369699200
7,P01,"[4, 6]",2,Gianluigi,1353974400
8,P01,"[1, 1]",4,Haley,1356134400
9,P01,"[1, 2]",3,Iginio,1356220800
10,P01,"[2, 8]",3,Luca,1353974400
11,P02,"[2, 3]",5,Antonio,1354320000
12,P02,"[2, 4]",3,Barbara,1354665600
13,P02,"[0, 2]",4,Carlo,1375747200
14,P02,"[0, 0]",1,Gianluigi,1353974400
15,P02,"[1, 1]",4,Haley,1356134400
16,P02,"[1, 2]",4,Iginio,1356220800
17,P02,"[2, 2]",2,Luca,1353974400
18,P03,"[4, 4]",3,Antonio,1354320000
19,P03,"[2, 4]",3,Barbara,1354665600
20,P03,"[2, 3]",5,Carlo,1375747200
21,P03,"[0, 1]",4,Davide,1358380800
22,P03,"[0, 2]",5,Erica,1364947200
23,P03,"[5, 5]",4,Fabrizio,1369699200
24,P03,"[2, 7]",5,Luca,1353974400
25,P04,"[3, 3]",5,Carlo,1354320000
26,P04,"[1, 10]",2,Erica,1354665600
27,P04,"[0, 2]",2,Fabrizio,1375747200
28,P04,"[3, 12]",2,Antonio,1358380800
29,P04,"[8, 9]",4,Barbara,1364947200
30,P04,"[3, 3]",5,Davide,1369699200
31,P05,"[5, 5]",5,Antonio,1353974400
32,P05,"[3, 5]",5,Barbara,1356134400
33,P05,"[2, 3]",5,Carlo,1356220800
34,P05,"[0, 10]",1,Davide,1353974400
35,P05,"[1, 6]",1,Erica,1354320000
36,P05,"[0, 0]",3,Fabrizio,1354665600
37,P05,"[4, 7]",4,Gianluigi,1375747200
38,P05,"[1, 1]",3,Haley,1353974400
39,P05,"[6, 8]",4,Iginio,1356134400
40,P05,"[8, 11]",4,Luca,1356220800
41,P06,"[2, 6]",4,Antonio,1353974400
42,P06,"[6, 6]",5,Barbara,1354320000
43,P06,"[4, 7]",5,Carlo,1354665600
44,P06,"[1, 2]",5,Davide,1375747200
45,P06,"[1, 8]",1,Erica,1358380800
46,P06,"[0, 1]",1,Fabrizio,1364947200
47,P07,"[4, 5]",1,Antonio,1369699200
48,P07,"[0, 7]",5,Barbara,1353974400
49,P07,"[1, 4]",5,Carlo,1354320000
50,P07,"[3, 3]",1,Davide,1354665600
51,P08,"[3, 4]",4,Antonio,1354320000
52,P08,"[2, 4]",4,Barbara,1354665600
53,P08,"[0, 10]",1,Carlo,1375747200
54,P08,"[2, 4]",2,Davide,1358380800
55,P08,"[0, 0]",3,Erica,1364947200
56,P08,"[0, 0]",4,Fabrizio,1369699200
57,P08,"[1, 1]",5,Gianluigi,1353974400
58,P08,"[5, 5]",5,Haley,1356134400
59,P08,"[2, 3]",4,Iginio,1356220800
60,P08,"[1, 1]",4,Luca,1353974400
61,P08,"[2, 2]",5,Matteo,1354320000
62,P08,"[0, 0]",3,Nunzia,1354665600
63,P08,"[1, 2]",3,Orazio,1375747200
64,P08,"[3, 5]",5,Pierluigi,1353974400
65,P08,"[1, 3]",1,Quirico,1356134400
66,P08,"[2, 4]",5,Renato,1356220800
67,P08,"[0, 0]",4,Sabrina,1353974400
68,P08,"[3, 3]",5,Teresa,1354320000
69,P08,"[1, 1]",3,Ugo,1354665600
70,P08,"[1, 1]",5,Valentina,1375747200
71,P08,"[6, 7]",5,Zeno,1358380800
72,P09,"[2, 2]",1,Pierluigi,1364947200
73,P09,"[3, 3]",1,Quirico,1369699200
74,P09,"[1, 3]",1,Renato,1353974400
75,P09,"[0, 0]",1,Sabrina,1354320000
76,P09,"[1, 2]",1,Teresa,1354665600
77,P09,"[0, 6]",5,Ugo,1375747200
78,P09,"[1, 1]",3,Valentina,1354320000
79,P09,"[2, 3]",2,Zeno,1354665600
80,P09,"[4, 4]",1,Antonio,1375747200
81,P10,"[0, 0]",4,Luca,1358380800
82,P10,"[3, 4]",4,Matteo,1364947200
83,P10,"[4, 4]",5,Nunzia,1369699200
84,P10,"[2, 2]",5,Orazio,1353974400
85,P10,"[0, 5]",1,Pierluigi,1354320000
86,P10,"[1, 4]",5,Quirico,1354665600
87,P10,"[0, 0]",5,Renato,1375747200
88,P10,"[2, 3]",5,Sabrina,1358380800
89,P10,"[1, 2]",2,Teresa,1364947200
90,P10,"[3, 3]",4,Ugo,1369699200
